step,v_delta,desired_v,current_v,omega_delta,desired_omega,current_omega
15200,0.11444586515426636,1.334728479385376,1.2206451892852783,2.1992911570123397e-05,0.0,-2.1992911570123397e-05
16000,0.16477686166763306,1.470371961593628,1.3050296306610107,1.74566957866773e-05,0.0,-1.74566957866773e-05
16800,0.19823536276817322,1.5784977674484253,1.3802282810211182,1.5826595699763857e-05,0.0,-1.5826595699763857e-05
17600,0.18307897448539734,1.573731541633606,1.391188144683838,1.3683132237929385e-05,0.0,-1.3683132237929385e-05
18400,0.19252756237983704,1.6306012868881226,1.4375202655792236,1.2607797543751076e-05,0.0,-1.2607797543751076e-05
19200,0.19125011563301086,1.62099027633667,1.4301483631134033,1.632554631214589e-05,0.0,-1.632554631214589e-05
20000,0.11760320514440536,1.3673326969146729,1.250058650970459,1.5418003386002965e-05,0.0,-1.5418003386002965e-05
20800,0.11315686255693436,1.3201584815979004,1.206286907196045,1.6813470210763626e-05,0.0,-1.6813470210763626e-05
21600,0.12153714895248413,1.3682724237442017,1.2468024492263794,1.7842441593529657e-05,0.0,-1.7842441593529657e-05
22400,0.16739210486412048,1.4901853799819946,1.323122501373291,1.603559394425247e-05,0.0,-1.603559394425247e-05
23200,0.12026818841695786,1.3461705446243286,1.2258614301681519,1.8954271581606008e-05,0.0,-1.8954271581606008e-05
24000,0.14482125639915466,1.4269232749938965,1.2823073863983154,1.3811388271278702e-05,0.0,-1.3811388271278702e-05
24800,0.14660868048667908,1.4673008918762207,1.320406198501587,1.4202186321199406e-05,0.0,-1.4202186321199406e-05
25600,0.13526439666748047,1.4321233034133911,1.2969223260879517,1.639890433580149e-05,0.0,-1.639890433580149e-05
26400,0.19544710218906403,1.6008126735687256,1.4052553176879883,1.4218795513443183e-05,0.0,-1.4218795513443183e-05
27200,0.15524545311927795,1.5136206150054932,1.3578119277954102,1.430254451406654e-05,0.0,-1.430254451406654e-05
28000,0.19139786064624786,1.617491602897644,1.4260382652282715,1.2958345905644819e-05,0.0,-1.2958345905644819e-05
28800,0.15422526001930237,1.4804251194000244,1.3271071910858154,1.4176674085319974e-05,0.0,-1.4176674085319974e-05
29600,0.156871497631073,1.4642672538757324,1.3070963621139526,1.728550523694139e-05,0.0,-1.728550523694139e-05
30400,0.17068849503993988,1.5493141412734985,1.37834632396698,1.34906658786349e-05,0.0,-1.34906658786349e-05
31200,0.18365493416786194,1.5911275148391724,1.4074052572250366,1.5202940630842932e-05,0.0,-1.5202940630842932e-05
32000,0.15511083602905273,1.4522144794464111,1.2969143390655518,1.5151013940339908e-05,0.0,-1.5151013940339908e-05
32800,0.17027267813682556,1.5115684270858765,1.3412563800811768,1.861006603576243e-05,0.0,-1.861006603576243e-05
33600,0.20536792278289795,1.6162899732589722,1.4115493297576904,1.561952922202181e-05,0.0,-1.561952922202181e-05
34400,0.17547081410884857,1.5465104579925537,1.3708531856536865,1.5011862160463352e-05,0.0,-1.5011862160463352e-05
35200,0.1815236359834671,1.5413864850997925,1.3601429462432861,1.6764874089858495e-05,0.0,-1.6764874089858495e-05
36000,0.1723412126302719,1.550208330154419,1.377376675605774,1.3694715562451165e-05,0.0,-1.3694715562451165e-05
36800,0.1440940499305725,1.4261956214904785,1.2824623584747314,1.682742549746763e-05,0.0,-1.682742549746763e-05
37600,0.1621096432209015,1.4624887704849243,1.2998969554901123,1.6187215805985034e-05,0.0,-1.6187215805985034e-05
38400,0.17554977536201477,1.5584423542022705,1.3836688995361328,1.379152945446549e-05,0.0,-1.379152945446549e-05
39200,0.17775201797485352,1.540198802947998,1.361843228340149,1.5830935808480717e-05,0.0,-1.5830935808480717e-05
40000,0.2132001668214798,1.6365834474563599,1.4230806827545166,1.4591607396141626e-05,0.0,-1.4591607396141626e-05
40800,0.2524147629737854,1.7744215726852417,1.5223774909973145,1.4738127902091946e-05,0.0,-1.4738127902091946e-05
41600,0.1303403675556183,1.422484040260315,1.2925339937210083,1.5248289855662733e-05,0.0,-1.5248289855662733e-05
42400,0.14951586723327637,1.4397623538970947,1.2903704643249512,1.669604353082832e-05,0.0,-1.669604353082832e-05
43200,0.20262326300144196,1.6495357751846313,1.4468144178390503,1.528863504063338e-05,0.0,-1.528863504063338e-05
